Transaction ID,Items
WalmartTrans1,"E-Reader, Smart TV, External SSD, Fitness Tracker, USB Cable"
WalmartTrans2,"Fitness Tracker, Smart TV, External SSD, Video Game Console"
WalmartTrans3,"Smart Light Bulb, USB Cable, Bluetooth Speaker"
WalmartTrans4,"Smart Light Bulb, Fitness Tracker, Headphones, Smart TV"
WalmartTrans5,"Smart TV, Bluetooth Speaker, Tablet, Headphones"
WalmartTrans6,"Tablet, USB Cable, Headphones"
WalmartTrans7,"Tablet, Headphones, Fitness Tracker"
WalmartTrans8,"Video Game Console, Bluetooth Speaker, Tablet, Smart Light Bulb, USB Cable, E-Reader"
WalmartTrans9,"Tablet, External SSD, Headphones"
WalmartTrans10,"Headphones, Fitness Tracker"
WalmartTrans11,"Smart TV, Tablet, USB Cable, Video Game Console, E-Reader, Smart Light Bulb"
WalmartTrans12,"Video Game Console, E-Reader, Fitness Tracker, Tablet, USB Cable"
WalmartTrans13,"Smart TV, Video Game Console, USB Cable, External SSD, Smart Light Bulb"
WalmartTrans14,"External SSD, Bluetooth Speaker, USB Cable, Fitness Tracker"
WalmartTrans15,"Smart TV, Smart Light Bulb, E-Reader"
WalmartTrans16,"Bluetooth Speaker, USB Cable, Video Game Console"
WalmartTrans17,"Video Game Console, Fitness Tracker"
WalmartTrans18,"Tablet, USB Cable, Video Game Console, Smart Light Bulb, External SSD, Headphones"
WalmartTrans19,"Tablet, Video Game Console, Bluetooth Speaker, External SSD"
WalmartTrans20,"Bluetooth Speaker, External SSD, Tablet, Fitness Tracker"
TargetTrans1,"Bath Towels, Bedding"
TargetTrans2,"Garden Supplies, Coffee Machine, Kitchen Appliances"
TargetTrans3,"Garden Supplies, Kitchen Appliances"
TargetTrans4,"Kitchen Appliances, Coffee Machine, Storage Bins"
TargetTrans5,"Wall Art, Laundry Hamper, Bath Towels"
TargetTrans6,"Cookware, Bedding, Wall Art, Storage Bins, Kitchen Appliances"
TargetTrans7,"Laundry Hamper, Wall Art, Coffee Machine, Garden Supplies, Cookware"
TargetTrans8,"Kitchen Appliances, Storage Bins, Laundry Hamper, Cookware, Bedding"
TargetTrans9,"Bedding, Laundry Hamper, Garden Supplies"
TargetTrans10,"Kitchen Appliances, Laundry Hamper, Storage Bins"
TargetTrans11,"Storage Bins, Bath Towels"
TargetTrans12,"Coffee Machine, Bedding"
TargetTrans13,"Cookware, Coffee Machine, Bath Towels"
TargetTrans14,"Coffee Machine, Bedding, Cookware, Bath Towels"
TargetTrans15,"Wall Art, Bedding"
TargetTrans16,"Air Fryer, Coffee Machine, Wall Art, Garden Supplies"
TargetTrans17,"Bedding, Storage Bins, Air Fryer, Laundry Hamper, Wall Art, Cookware"
TargetTrans18,"Storage Bins, Bedding"
TargetTrans19,"Air Fryer, Wall Art, Kitchen Appliances"
TargetTrans20,"Garden Supplies, Bath Towels, Air Fryer"
CostcoTrans1,"Gaming Console, Smartwatch, Wi-Fi Router, Home Theater, Noise-Canceling Headphones"
CostcoTrans2,"Laptop, Television, Gaming Console, Portable Speaker, Home Theater, Noise-Canceling Headphones"
CostcoTrans3,"Video Doorbell, Noise-Canceling Headphones, Gaming Console"
CostcoTrans4,"SSD Drive, Home Theater, Noise-Canceling Headphones, Video Doorbell, Wi-Fi Router, Television"
CostcoTrans5,"Laptop, Wi-Fi Router, Video Doorbell, Gaming Console, Portable Speaker"
CostcoTrans6,"Portable Speaker, Gaming Console, Laptop, SSD Drive, Home Theater"
CostcoTrans7,"Home Theater, Noise-Canceling Headphones, Wi-Fi Router, SSD Drive, Gaming Console"
CostcoTrans8,"Home Theater, Video Doorbell"
CostcoTrans9,"Noise-Canceling Headphones, SSD Drive"
CostcoTrans10,"Video Doorbell, Home Theater, Portable Speaker"
CostcoTrans11,"Video Doorbell, Wi-Fi Router"
CostcoTrans12,"Television, Smartwatch, Home Theater"
CostcoTrans13,"Wi-Fi Router, Video Doorbell, Smartwatch"
CostcoTrans14,"Wi-Fi Router, Television, Smartwatch"
CostcoTrans15,"Gaming Console, Home Theater, Laptop, Smartwatch, Portable Speaker"
CostcoTrans16,"Portable Speaker, SSD Drive, Wi-Fi Router"
CostcoTrans17,"Television, Home Theater, Noise-Canceling Headphones, Portable Speaker, Video Doorbell"
CostcoTrans18,"Smartwatch, Portable Speaker"
CostcoTrans19,"Wi-Fi Router, SSD Drive"
CostcoTrans20,"Wi-Fi Router, Gaming Console, Television, SSD Drive, Home Theater, Video Doorbell"
